,OR,OR_lower_95,OR_upper_95,p_value
Intercept,0.05260556644956455,0.046133192778360435,0.05998599825455008,0.0
"C(insulin_status, Treatment(reference='Steady'))[T.Up]",1.0844491594564132,1.0130480848269845,1.160882683714438,0.019647025227726104
"C(insulin_status, Treatment(reference='Steady'))[T.Down]",1.2067896351261367,1.1314832888644786,1.2871080269417083,1.0810962065630844e-08
"C(insulin_status, Treatment(reference='Steady'))[T.No]",0.9264878889822997,0.8761006149806687,0.9797730919864934,0.007446816408151466
age_numeric,1.0048362418605545,1.0033158068740202,1.0063589809297444,4.2480508920723527e-10
number_diagnoses,1.0383321092037074,1.0247195025081868,1.052125548859461,2.315242507833129e-08
prior_utilization,1.119139173370353,1.1104491261806135,1.1278972263051372,3.359653531021244e-176
time_in_hospital,1.0273640547539846,1.0189644911249334,1.035832857958873,1.154144639449865e-10
num_medications,1.0026232738997733,0.9995139079648366,1.0057423126931269,0.09829871093169358
a1c_high,0.8548886918344446,0.7970613746223639,0.9169114182363519,1.1471903881834366e-05
